time,.header.id,.header.msg_type,.header.port_addr,.header.length,.header.sequence,.header.idle_time,.header.time_status,.header.gps_week,.header.gps_week_seconds,.header.receiver_status,.header.reserved,.header.software_version,.ins_status,.position_type,.latitude,.longitude,.altitude,.undulation,.north_velocity,.east_velocity,.up_velocity,.roll,.pitch,.azimuth,.latitude_std,.longitude_std,.altitude_std,.north_velocity_std,.east_velocity_std,.up_velocity_std,.roll_std,.pitch_std,.azimuth_std,.extended_status,.seconds_since_update
2021/09/07/01:22:53.367573,1465,0,64,126,0,111,180,2051,46699000,0,19988,13754,3,54,22.3011555447,114.179000313,6.61369549669,-2.20000004768,0.00376851950726,-0.00789893518985,-0.00606290656338,-1.29512951831,0.292010372183,228.019929379,0.251768350601,0.264411658049,0.25390791893,0.00095177302137,0.00109585002065,0.00107485544868,0.00412384793162,0.00412719976157,0.0562838502228,68,0
2021/09/07/01:22:53.988440,1465,0,64,126,0,115,180,2051,46700000,0,19988,13754,3,54,22.3011554612,114.179000322,6.60528941266,-2.20000004768,-0.00418993180733,0.000415852241083,-0.00197495604174,-1.29447707801,0.291912447942,228.022362634,0.251628041267,0.264120161533,0.249355524778,0.000946541840676,0.00108449545223,0.00106327957474,0.00408375216648,0.00408537918702,0.0563729852438,68,0
2021/09/07/01:22:56.049539,1465,0,64,126,0,107,180,2051,46701000,0,19988,13754,3,54,22.3011553791,114.179000332,6.59589289781,-2.20000004768,0.00136872120136,-0.000457294883442,-0.00281401785917,-1.2998158197,0.28455257781,228.022167091,0.251580297947,0.264012217522,0.245636865497,0.000940439116675,0.00107805547304,0.00105628208257,0.00406989362091,0.00406813807786,0.0564641654491,68,0
2021/09/07/01:26:43.822937,1465,0,64,126,0,107,180,2051,46702000,0,19988,13754,3,54,22.3011552956,114.179000344,6.58528151363,-2.20000004768,-0.0147444781683,0.00615333807847,0.00391768444921,-1.31448049835,0.283995401475,228.019265849,0.251565515995,0.263973861933,0.242706462741,0.000934146111831,0.0010748495115,0.00105235970113,0.0040618525818,0.0040636411868,0.0565710738301,68,0
2021/09/07/01:26:44.475875,1465,0,64,126,0,114,180,2051,46703000,0,19988,13754,3,54,22.3011552148,114.179000355,6.57434173487,-2.20000004768,-0.0131792711426,0.00436438444398,0.00479149312634,-1.30314054975,0.284604588826,228.022845043,0.251554757357,0.263963073492,0.240464627743,0.000928142981138,0.00107352773193,0.00105039845221,0.00406149355695,0.0040606171824,0.0567106828094,68,0
2021/09/07/01:26:45.341789,1465,0,64,126,0,108,180,2051,46704000,0,19988,13754,3,54,22.3011551404,114.179000365,6.56362492684,-2.20000004768,-0.00401237357794,-0.00285272094789,0.00190877995168,-1.29812013341,0.287310453382,228.024081639,0.251540213823,0.263951867819,0.238773673773,0.00092272751499,0.00107288453728,0.00104903662577,0.00406265538186,0.00405893661082,0.0568058565259,68,0
2021/09/07/01:26:46.353411,1465,0,64,126,0,108,180,2051,46705000,0,19988,13754,3,54,22.3011550724,114.179000374,6.55334213097,-2.20000004768,-0.00555177648407,-0.0013343892691,-0.00129276106446,-1.30100453562,0.292182333526,228.023988746,0.251525104046,0.26394328475,0.237510696054,0.000918057456147,0.00107254565228,0.00104798411485,0.00406093383208,0.00405986839905,0.0568998754025,68,0
2021/09/07/01:26:48.425718,1465,0,64,126,0,113,180,2051,46706000,0,19988,13754,3,54,22.3011550102,114.179000381,6.54357991926,-2.20000004768,-0.00239485000581,-1.64600053685e-05,0.00380636560536,-1.30092373029,0.289780097197,228.027456231,0.251510739326,0.263934850693,0.236579477787,0.000914019939955,0.00107227859553,0.00104719109368,0.00406133756042,0.00406001368538,0.0569945722818,68,0
2021/09/07/01:26:50.385541,1465,0,64,126,0,112,180,2051,46707000,0,19988,13754,3,54,22.301154954,114.179000388,6.53439193685,-2.20000004768,0.00330191321747,-0.00122104299617,-0.000764012774908,-1.29923464741,0.296236796077,228.025057507,0.251500874758,0.263928234577,0.23589643836,0.000910754024517,0.00107213202864,0.00104656920303,0.00406043138355,0.00406041974202,0.0571002289653,68,0
2021/09/07/01:26:52.558638,1465,0,64,126,0,112,180,2051,46708000,0,19988,13754,3,54,22.3011549041,114.179000394,6.52584609669,-2.20000004768,-0.00135330109859,0.00151007099753,0.001847342626,-1.29529928797,0.29399330483,228.027420645,0.251492857933,0.263922482729,0.235399052501,0.000908038287889,0.00107187381946,0.00104596558958,0.00405970588326,0.00406098272651,0.0572049915791,68,0
2021/09/07/01:26:54.599160,1465,0,64,126,0,116,180,2051,46709000,0,19988,13754,3,54,22.3011548581,114.179000401,6.51800725795,-2.20000004768,-0.00422898859384,0.0011528793489,0.00854579153944,-1.30201239749,0.290128544885,228.025359955,0.251483350992,0.263917952776,0.235040038824,0.000905918888748,0.00107165984809,0.00104543799534,0.00406102649868,0.0040602623485,0.0572986416519,68,0
2021/09/07/01:26:59.207321,1465,0,64,126,0,109,180,2051,46710000,0,19988,13754,3,54,22.3011548154,114.179000408,6.51090777479,-2.20000004768,-0.00245711077465,-0.000312048327131,0.00504469715796,-1.30242995242,0.290870799659,228.027403047,0.251475960016,0.263913094997,0.234783872962,0.000904225977138,0.0010715147946,0.00104511308018,0.0040584364906,0.00406100042164,0.0573931634426,68,0
2021/09/07/01:27:02.730618,1465,0,64,126,0,109,180,2051,46711000,0,19988,13754,3,54,22.3011547767,114.179000414,6.50446095131,-2.20000004768,0.00203256649427,0.00340110604952,-0.00626673853493,-1.29943734042,0.30063715942,228.021881833,0.25146907568,0.263908237219,0.234603509307,0.000902848609257,0.0010712913936,0.001044768258,0.00405978178605,0.00405934685841,0.0574874617159,68,0
2021/09/07/01:27:06.196558,1465,0,64,126,0,112,180,2051,46712000,0,19988,13754,3,54,22.3011547422,114.179000418,6.49862906709,-2.20000004768,0.00405008371637,-0.00415248986086,0.000382750739042,-1.27766014141,0.3008156986,228.027508282,0.251464128494,0.263907760382,0.234476268291,0.000901716121007,0.00107094331179,0.00104430271313,0.00406411988661,0.00405777990818,0.0576078146696,68,0
2021/09/07/01:27:11.055305,1465,0,64,126,0,108,180,2051,46713000,0,19988,13754,3,54,22.3011547092,114.179000421,6.49331445061,-2.20000004768,-0.00731785697405,0.000199959720967,0.00492466353733,-1.29183316074,0.300719058941,228.02804716,0.251462131739,0.263910740614,0.234387934208,0.000901047780644,0.00107088161167,0.00104398198891,0.0040644374676,0.00405764533207,0.0577441677451,68,0
2021/09/07/01:27:13.667541,1465,0,64,126,0,108,180,2051,46714000,0,19988,13754,3,54,22.3011546773,114.179000425,6.48850349709,-2.20000004768,-0.00850887455624,0.00325439510709,0.00958903408151,-1.3047277755,0.299619487682,228.030992436,0.251458674669,0.263910114765,0.234328553081,0.000900299870409,0.00107064424083,0.00104378710967,0.00406459812075,0.00405728630722,0.05786395818,68,0
2021/09/07/01:27:14.534245,1465,0,64,126,0,116,180,2051,46715000,0,19988,13754,3,54,22.3011546469,114.179000429,6.48413343076,-2.20000004768,0.00312383835673,-0.00358888180261,0.00308611817236,-1.28532351399,0.306921079375,228.031168155,0.251458436251,0.263909906149,0.234289258718,0.000899728154764,0.00107048696373,0.00104362494312,0.00406219670549,0.0040570362471,0.0579994544387,68,0
2021/09/07/01:27:15.143769,1465,0,64,126,0,107,180,2051,46716000,0,19988,13754,3,54,22.3011546171,114.179000434,6.48005938623,-2.20000004768,-0.000947727981039,-0.00345405469428,-0.00472715857574,-1.30249385692,0.314153346663,228.03851152,0.251457750797,0.263913482428,0.234263315797,0.000899323087651,0.00107024505269,0.00104326580185,0.00405774917454,0.00405880762264,0.0581470094621,68,0
2021/09/07/01:27:17.786152,1465,0,64,126,0,107,180,2051,46717000,0,19988,13754,3,54,22.3011545889,114.179000439,6.47621360328,-2.20000004768,0.000667170168591,0.00095994210131,-0.00487904726074,-1.28986480679,0.312842771525,228.037205755,0.251453667879,0.263915479183,0.234247252345,0.000898841186427,0.00106997764669,0.00104303343687,0.00405771518126,0.00405895896256,0.0582856722176,68,0
2021/09/07/01:27:21.314438,1465,0,64,126,0,112,180,2051,46718000,0,19988,13754,3,54,22.3011545623,114.179000447,6.47259238921,-2.20000004768,0.00297543239053,0.00127997693506,-0.00189528666632,-1.28357159339,0.310583870225,228.037986978,0.251449853182,0.263917207718,0.234237968922,0.000898477563169,0.0010697892867,0.00104279967491,0.00405899062753,0.00405839085579,0.0584191419184,68,0
2021/09/07/01:27:24.263479,1465,0,64,126,0,112,180,2051,46719000,0,19988,13754,3,54,22.3011545369,114.179000455,6.46921801288,-2.20000004768,0.000490850301287,0.00175044099608,0.00251588771306,-1.28664265162,0.308240142308,228.038457463,0.251446157694,0.263913393021,0.234233006835,0.000898203987163,0.00106963829603,0.00104255811311,0.00405886629596,0.00405780551955,0.0585112795234,68,0
2021/09/07/01:27:28.043934,1465,0,64,126,0,112,180,2051,46720000,0,19988,13754,3,54,22.3011545116,114.179000464,6.46606652532,-2.20000004768,-0.00543831095301,0.00456417618965,0.00222746155822,-1.28455008876,0.304097177019,228.038638148,0.251442730427,0.263909071684,0.234231039882,0.000897917489056,0.00106948707253,0.00104239501525,0.00405751680955,0.00405725231394,0.0586034432054,68,0
2021/09/07/01:27:32.628729,1465,0,64,126,0,112,180,2051,46721000,0,19988,13754,3,54,22.3011544864,114.179000474,6.46312189288,-2.20000004768,-0.00988591405401,0.00545309041222,0.00574175856919,-1.279899249,0.305980442831,228.039292848,0.251439213753,0.263904780149,0.234231248498,0.000897613645066,0.00106925202999,0.00104218011256,0.00405900506303,0.00405539758503,0.0586954578757,68,0
2021/09/07/01:27:34.046573,1465,0,64,126,0,109,180,2051,46722000,0,19988,13754,3,54,22.3011544623,114.179000483,6.46040102467,-2.20000004768,-0.00190550219126,0.000824249423979,0.00368417539555,-1.27691680585,0.304097042139,228.040703888,0.251436382532,0.263900995255,0.234233051538,0.000897356367204,0.00106901838444,0.00104196427856,0.00406021857634,0.00405416032299,0.0587873160839,68,0
2021/09/07/01:27:35.136578,1465,0,64,126,0,109,180,2051,46723000,0,19988,13754,3,54,22.3011544391,114.179000492,6.45790045243,-2.20000004768,0.0034051143177,-0.00662621660647,0.00217576303104,-1.2794092769,0.301942628943,228.037761949,0.251433700323,0.263898462057,0.23423601687,0.000897265621461,0.00106889172457,0.001041767071,0.00405907584354,0.00405437964946,0.0588775910437,68,0
2021/09/07/01:27:35.994648,1465,0,64,126,0,113,180,2051,46724000,0,19988,13754,3,54,22.3011544169,114.179000501,6.45558772236,-2.20000004768,0.000580147276176,-0.000523348425987,-0.00037897383057,-1.28219319977,0.310651481059,228.042593033,0.251431107521,0.263895004988,0.234239369631,0.000897070334759,0.00106873188633,0.00104167265818,0.00405610073358,0.00405619107187,0.0589679926634,68,0
2021/09/07/01:27:40.198675,1465,0,64,126,0,110,180,2051,46725000,0,19988,13754,3,54,22.301154379,114.17900049,6.4534188034,-2.20000004768,-0.187978321592,-0.220939576896,0.00462835050805,-1.24595437275,0.387505075317,228.051627559,0.251428186893,0.263891577721,0.234243407845,0.000896907120477,0.00106860382948,0.00104154262226,0.00405847467482,0.00405612168834,0.05905912444,68,0
2021/09/07/01:27:44.384321,1465,0,64,126,0,109,180,2051,46726000,0,19988,13754,3,54,22.3011495745,114.178995775,6.37570337206,-2.20000004768,-0.687866839588,-0.779760423114,0.00376898044459,-1.22754291875,0.484937720544,228.143580738,0.25136911869,0.263819932938,0.234249129891,0.00114366877824,0.00152838369831,0.001492421492,0.00447104265913,0.00447309669107,0.059213899076,68,0
2021/09/07/01:27:47.995895,1465,0,64,126,0,109,180,2051,46727000,0,19988,13754,3,54,22.3011407358,114.17898494,6.37634093501,-2.20000004768,-1.20436719568,-1.39759661359,0.0146234666138,-1.29265143979,0.361187543577,227.990068733,0.251302212477,0.26374232769,0.234286129475,0.00147435406689,0.00212027388625,0.00221025035717,0.0048573599197,0.00485485699028,0.0593706332147,450,0
